X_hat, cp_s, h_hat, cr, T_design, CF,SHB_CF, CAPEX_total, Total_profit, Total_CO2
0.200000,0.600000,14.000000,1.000000,400.000000,0.426360,0.887034,3.592686,124418.865887,1191.760618
0.400000,1.200000,28.000000,1.000000,400.000000,0.426360,0.887034,6.779567,248837.731773,2383.521236
0.600000,1.800000,42.000000,1.000000,400.000000,0.426360,0.887034,9.856534,373256.597660,3575.281854
0.800000,2.400000,56.000000,1.000000,400.000000,0.426360,0.887034,12.869263,497675.463546,4767.042471
1.000000,3.000000,70.000000,1.000000,400.000000,0.426360,0.887034,15.837489,622094.329433,5958.803089
1.200000,3.600000,84.000000,1.000000,400.000000,0.426360,0.887034,18.772107,746513.195319,7150.563707
1.400000,4.200000,98.000000,1.000000,400.000000,0.426360,0.887034,21.679969,870932.061206,8342.324325
1.600000,4.800000,112.000000,1.000000,400.000000,0.426360,0.887034,24.565747,995350.927093,9534.084943
1.800000,5.400000,126.000000,1.000000,400.000000,0.426360,0.887034,27.432820,1119769.792979,10725.845561
2.000000,6.000000,140.000000,1.000000,400.000000,0.426360,0.887034,30.283731,1244188.658866,11917.606179
2.200000,6.600000,154.000000,1.000000,400.000000,0.426360,0.887034,33.120459,1368607.524752,13109.366797
2.400000,7.200000,168.000000,1.000000,400.000000,0.426360,0.887034,35.944583,1493026.390639,14301.127414
2.600000,7.800000,182.000000,1.000000,400.000000,0.426360,0.887034,38.757389,1617445.256525,15492.888032
2.800000,8.400000,196.000000,1.000000,400.000000,0.426360,0.887034,41.559947,1741864.122412,16684.648650
3.000000,9.000000,210.000000,1.000000,400.000000,0.426360,0.887034,44.353152,1866282.988299,17876.409268
3.200000,9.600000,224.000000,1.000000,400.000000,0.426360,0.887034,47.137771,1990701.854185,19068.169886
3.400000,10.200000,238.000000,1.000000,400.000000,0.426360,0.887034,49.914461,2115120.720072,20259.930504
3.600000,10.800000,252.000000,1.000000,400.000000,0.426360,0.887034,52.683795,2239539.585958,21451.691122
3.800000,11.400000,266.000000,1.000000,400.000000,0.426360,0.887034,55.446275,2363958.451845,22643.451739
4.000000,12.000000,280.000000,1.000000,400.000000,0.426360,0.887034,58.202343,2488377.317731,23835.212357
